0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.45,0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.14
0.35,0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.06
0.42,0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.02
0.99,2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.03
2.83,5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.02
5.01,8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.03
8.94,12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0
12.12,9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0
9.03,13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0
13.07,12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.02
12.85,11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.0
11.95,10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.03,0.03
10.93,7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0
7.39,4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0
4.35,2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0
2.05,2.08,1.19,0.78,0.22,0.14,0.06,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0
